YearStart,LocationDesc,Class,Data_Value,Sample_Size,StratificationCategory1,Stratification1
2019,District of Columbia,Physical Activity,32.6,233.0,Income,"$50,000 - $74,999"
2019,Rhode Island,Obesity / Weight Status,40.8,770.0,Age (years),45 - 54
2019,Kentucky,Physical Activity,39.3,460.0,Income,"$35,000 - $49,999"
2021,Illinois,Physical Activity,40.9,118.0,Income,"Less than $15,000"
2019,California,Physical Activity,29.4,228.0,Race/Ethnicity,2 or more races
2018,California,Obesity / Weight Status,34.4,1404.0,Education,Less than high school
2020,Maine,Obesity / Weight Status,34.2,1966.0,Age (years),55 - 64
2020,Idaho,Obesity / Weight Status,36.4,335.0,Education,Less than high school
2020,Rhode Island,Obesity / Weight Status,33.9,1102.0,Education,High school graduate
2020,Minnesota,Physical Activity,26.7,3823.0,Education,High school graduate
2019,Georgia,Physical Activity,18.3,105.0,Race/Ethnicity,Asian
2019,North Carolina,Physical Activity,24.8,1902.0,Gender,Male
2022,Kentucky,Obesity / Weight Status,29.1,298.0,Race/Ethnicity,Non-Hispanic Black
2019,Maryland,Fruits and Vegetables,29.2,2474.0,Income,Data not reported
2018,Washington,Obesity / Weight Status,38.3,1379.0,Age (years),35 - 44
2019,Louisiana,Physical Activity,27.7,285.0,Age (years),18 - 24
2019,Arizona,Physical Activity,68.3,1967.0,Income,"$75,000 or greater"
2021,West Virginia,Physical Activity,25.7,2104.0,Income,Data not reported
2019,Nebraska,Physical Activity,27.3,114.0,Race/Ethnicity,2 or more races
2018,Ohio,Obesity / Weight Status,26.2,1041.0,Income,"Less than $15,000"
2023,Colorado,Physical Activity,53.3,1228.0,Race/Ethnicity,Hispanic
2019,Hawaii,Physical Activity,21.4,828.0,Age (years),25 - 34
2019,Maryland,Fruits and Vegetables,41.5,1132.0,Age (years),25 - 34
2019,Texas,Obesity / Weight Status,27.4,4099.0,Education,College graduate
2023,South Carolina,Physical Activity,28.9,5470.0,Gender,Female
2023,Alaska,Physical Activity,41.7,246.0,Income,"$15,000 - $24,999"
2021,New Hampshire,Physical Activity,12.7,196.0,Age (years),18 - 24
2019,Hawaii,Physical Activity,37.6,1156.0,Race/Ethnicity,2 or more races
2023,Indiana,Physical Activity,26.2,952.0,Income,"$25,000 - $34,999"
2020,South Carolina,Obesity / Weight Status,38.1,294.0,Education,Less than high school
2021,Idaho,Obesity / Weight Status,35.8,828.0,Income,"$35,000 - $49,999"
2023,National,Physical Activity,39.1,20918.0,Age (years),18 - 24
2023,Kansas,Physical Activity,23.6,97.0,Race/Ethnicity,American Indian/Alaska Native
2019,South Dakota,Physical Activity,39.9,1583.0,Income,"$75,000 or greater"
2021,Virginia,Obesity / Weight Status,31.4,908.0,Income,"$35,000 - $49,999"
2019,Tennessee,Physical Activity,17.6,119.0,Race/Ethnicity,Hispanic
2019,Iowa,Physical Activity,26.3,150.0,Race/Ethnicity,Non-Hispanic Black
2023,Texas,Physical Activity,55.4,70.0,Race/Ethnicity,Other
2020,Alaska,Obesity / Weight Status,31.2,329.0,Income,"$35,000 - $49,999"
2023,Utah,Physical Activity,65.1,9632.0,Total,Total
2021,New York,Physical Activity,21.1,16356.0,Income,Data not reported
2021,Virgin Islands,Fruits and Vegetables,39.3,373.0,Education,High school graduate
2022,Kentucky,Obesity / Weight Status,35.7,416.0,Income,"$35,000 - $49,999"
2019,Ohio,Physical Activity,36.0,2799.0,Income,"$75,000 or greater"
2023,Guam,Physical Activity,21.7,801.0,Gender,Male
2021,Wisconsin,Fruits and Vegetables,40.4,1008.0,Income,"$50,000 - $74,999"
2020,Iowa,Obesity / Weight Status,27.3,687.0,Age (years),18 - 24
2023,Nebraska,Physical Activity,38.0,2006.0,Income,"$35,000 - $49,999"
2023,Hawaii,Physical Activity,29.3,1073.0,Income,"$35,000 - $49,999"
2019,North Dakota,Obesity / Weight Status,30.0,62.0,Race/Ethnicity,2 or more races
2019,Illinois,Obesity / Weight Status,29.6,646.0,Income,"$15,000 - $24,999"
2019,Oregon,Physical Activity,23.0,1673.0,Education,Some college or technical school
2021,Michigan,Obesity / Weight Status,37.0,230.0,Race/Ethnicity,Hispanic
2023,North Dakota,Obesity / Weight Status,34.0,2154.0,Income,Data not reported
2019,Massachusetts,Physical Activity,54.4,495.0,Age (years),18 - 24
2023,Tennessee,Physical Activity,44.3,2613.0,Gender,Male
2019,Illinois,Fruits and Vegetables,14.7,2284.0,Education,College graduate
2023,Mississippi,Physical Activity,28.9,2305.0,Gender,Female
2022,Idaho,Obesity / Weight Status,36.2,689.0,Age (years),25 - 34
2020,Washington,Physical Activity,20.9,2415.0,Income,Data not reported
2023,Idaho,Physical Activity,64.7,5825.0,Total,Total
2020,Oregon,Physical Activity,14.7,703.0,Age (years),25 - 34
2019,Hawaii,Physical Activity,33.9,703.0,Income,Data not reported
2019,Virginia,Fruits and Vegetables,33.5,560.0,Education,Less than high school
2019,Wyoming,Fruits and Vegetables,49.9,185.0,Education,Less than high school
2023,Vermont,Physical Activity,40.2,1176.0,Income,"$50,000 - $74,999"
2019,Kansas,Physical Activity,19.7,1081.0,Age (years),25 - 34
2019,Missouri,Physical Activity,42.9,2135.0,Education,High school graduate
2019,Texas,Obesity / Weight Status,33.4,2726.0,Education,High school graduate
2019,Louisiana,Fruits and Vegetables,32.3,271.0,Age (years),18 - 24
2018,Kentucky,Physical Activity,43.5,1124.0,Income,"$15,000 - $24,999"
2023,Texas,Obesity / Weight Status,36.8,1987.0,Education,High school graduate
2019,North Dakota,Physical Activity,46.2,503.0,Age (years),35 - 44
2018,Oklahoma,Physical Activity,30.4,714.0,Age (years),45 - 54
2021,Alabama,Fruits and Vegetables,27.8,305.0,Education,Less than high school
2019,Maryland,Obesity / Weight Status,28.6,8616.0,Gender,Female
2023,Puerto Rico,Obesity / Weight Status,35.5,1090.0,Education,High school graduate
2023,Hawaii,Physical Activity,38.3,74.0,Race/Ethnicity,Non-Hispanic Black
2023,Ohio,Physical Activity,26.4,13328.0,Total,Total
2019,Pennsylvania,Physical Activity,26.7,3280.0,Gender,Female
2019,Florida,Obesity / Weight Status,37.8,4533.0,Education,Some college or technical school
2021,Wyoming,Obesity / Weight Status,37.7,1342.0,Income,Data not reported
2021,Rhode Island,Fruits and Vegetables,13.5,539.0,Income,"$75,000 or greater"
2018,Vermont,Obesity / Weight Status,31.8,556.0,Income,"$25,000 - $34,999"
2018,Alabama,Obesity / Weight Status,34.2,4198.0,Race/Ethnicity,Non-Hispanic White
2019,Massachusetts,Fruits and Vegetables,13.6,234.0,Race/Ethnicity,Asian
2018,Wyoming,Physical Activity,24.0,518.0,Age (years),45 - 54
2022,Puerto Rico,Obesity / Weight Status,33.0,707.0,Age (years),25 - 34
2022,Minnesota,Physical Activity,32.0,886.0,Income,"$15,000 - $24,999"
2022,New Hampshire,Physical Activity,16.2,175.0,Age (years),18 - 24
2020,Georgia,Physical Activity,18.9,529.0,Age (years),18 - 24
2019,South Carolina,Physical Activity,35.0,1441.0,Race/Ethnicity,Non-Hispanic Black
2023,Colorado,Physical Activity,67.0,7681.0,Total,Total
2023,Wisconsin,Obesity / Weight Status,34.3,9746.0,Race/Ethnicity,Non-Hispanic White
2022,Virgin Islands,Physical Activity,13.1,262.0,Age (years),45 - 54
2021,Maryland,Obesity / Weight Status,33.6,1225.0,Age (years),25 - 34
2023,Virginia,Physical Activity,30.4,604.0,Age (years),35 - 44
2021,Tennessee,Physical Activity,15.0,61.0,Race/Ethnicity,Asian
2021,Iowa,Fruits and Vegetables,31.7,3011.0,Age (years),65 or older
2020,California,Physical Activity,19.0,472.0,Race/Ethnicity,Asian
2021,North Dakota,Fruits and Vegetables,45.1,591.0,Age (years),35 - 44
2023,National,Physical Activity,37.7,30214.0,Income,"$25,000 - $34,999"
2021,Virgin Islands,Obesity / Weight Status,28.4,173.0,Education,Less than high school
2018,Texas,Obesity / Weight Status,39.6,1007.0,Education,Less than high school
2020,North Carolina,Obesity / Weight Status,38.9,75.0,Race/Ethnicity,Asian
2019,National,Physical Activity,34.1,49648.0,Income,"$50,000 - $74,999"
2018,Nebraska,Obesity / Weight Status,34.5,1390.0,Income,"$25,000 - $34,999"
2019,Georgia,Physical Activity,30.4,1457.0,Race/Ethnicity,Non-Hispanic Black
2023,Idaho,Physical Activity,19.9,139.0,Race/Ethnicity,2 or more races
2018,New York,Obesity / Weight Status,29.4,75.0,Race/Ethnicity,Hawaiian/Pacific Islander
2021,Nevada,Obesity / Weight Status,33.1,1195.0,Gender,Male
2021,Alaska,Fruits and Vegetables,53.4,103.0,Race/Ethnicity,Asian
2023,New York,Physical Activity,43.5,1431.0,Income,"$15,000 - $24,999"
2020,Kentucky,Obesity / Weight Status,30.1,578.0,Income,"$15,000 - $24,999"
2021,Kansas,Obesity / Weight Status,38.3,3919.0,Education,High school graduate
2021,Kansas,Obesity / Weight Status,39.7,7848.0,Gender,Male
2023,New Mexico,Physical Activity,48.4,359.0,Income,"$75,000 or greater"
